date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2006-12-02,"McDonough, Bryan T.",Specialist,United States,U.S. Army National Guard,22,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Minnesota,Maplewood,5303925
2006-12-02,"Rystad, Corey J.",Sergeant,United States,U.S. Army National Guard,20,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Minnesota,Red Lake Falls,5303925
2006-12-02,"Tillery, Jesse D.",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Wisconsin,Vesper,5686986
2006-12-01,"Love Jr., Robert L.",Staff Sergeant,United States,U.S. Army,28,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Mississippi,Livingston,2967297
2006-11-30,"Mulhair, Jeremy W.",Staff Sergeant,United States,U.S. Army,35,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,Nebraska,Omaha,1826341
2006-11-30,"Hartman Jr., John L.",Staff Sergeant,United States,U.S. Army,39,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Florida,Tampa,18801310
2006-11-29,"West, Theodore M.",Private 1st Class,United States,U.S. Army,23,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Kentucky,Richmond,4339367
2006-11-28,"Mason, Chris",Corporal,United States,U.S. Army,32,Iraq,Salah ad Din,Bayji,hostile,hostile fire - small arms fire,Alabama,Mobile,4779736
2006-11-28,"Loney, Jonerik",Corporal,United States,U.S. Army,21,Iraq,Anbar,Hit,hostile,hostile fire - ied attack,Alabama,Hartselle,4779736
2006-11-27,"Gilbert, Troy L.",Major,United States,U.S. Air Force,34,Iraq,Baghdad,Baghdad (20 miles northwest of),non-hostile,airplane crash,Arizona,Litchfield Park,6392017
2006-11-27,"Schwarz, Michael A.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Ramadi,hostile,hostile fire - sniper fire,New Jersey,Carlstadt,8791894
2006-11-26,"Burrows, Joshua C.",Private,United States,U.S. Army,20,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Louisiana,Bossier City,4533372
2006-11-26,"Fraser, David M.",1st Lieutenant,United States,U.S. Army,25,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Texas,Houston,25145561
2006-11-26,"Hamill, Jason R.",Captain,United States,U.S. Army,31,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Connecticut,New Haven,3574097
2006-11-26,"Dunn, Jeannette T.",Sergeant,United States,U.S. Army,44,Iraq,Baghdad,Taji,non-hostile,NA,New York,Bronx,19378102
2006-11-25,"Morris, Daniel M.",Staff Sergeant,United States,U.S. Army,28,Iraq,Diyala,Al Judiah,hostile,hostile fire - ied attack,Tennessee,Clinton,6346105
2006-11-25,"Ledsome, Michael C.",Corporal,United States,U.S. Marine,24,Iraq,Anbar,Habbaniyah,hostile,hostile fire,Texas,Austin,25145561
2006-11-25,"West, Jeromy D.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Albu Hyatt,hostile,hostile fire,California,Aguanga,37253956
2006-11-24,"Rapavi, Nicholas P.",Corporal,United States,U.S. Marine,22,Iraq,Anbar,Al Taqaddum,hostile,hostile fire,Virginia,Springfield,8001024
2006-11-24,"Moreno, Reece D.",Private,United States,U.S. Army,19,Iraq,Diyala,Balad,non-hostile,NA,Arizona,Prescott,6392017
2006-11-23,"Priestap, James D.",Sergeant 1st Class,United States,U.S. Army National Guard,39,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Michigan,Hardwood,9883640
2006-11-22,"Warner, Heath",Private 1st Class,United States,U.S. Marine,19,Iraq,Anbar,Haqlaniyah,hostile,hostile fire - ied attack,Ohio,Canton,11536504
2006-11-22,"Alonzo, Joshua C.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Haqlaniyah,hostile,hostile fire - ied attack,Texas,Dumas,25145561
2006-11-22,"Davenport, James R.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Haqlaniyah,hostile,hostile fire - ied attack,Indiana,Danville,6483802
2006-11-21,"Vizcaino, Eric",Specialist,United States,U.S. Army,21,Iraq,Salah ad Din,Samarra,non-hostile,NA,New Mexico,Albuquerque,2059179
2006-11-21,"Watts, Donovan E.",Command Sergeant Major,United States,U.S. Army,46,Iraq,Salah ad Din,Siniyah (died in Bayji),hostile,hostile fire - ied attack,Georgia,Atlanta,9687653
2006-11-21,"Musack, James P.",Sergeant,United States,U.S. Army,23,Iraq,Salah ad Din,Samarra,non-hostile,NA,Iowa,Riverside,3046355
2006-11-19,"Shock, Jeremy S.",Lance Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Ohio,Tiffin,11536504
2006-11-18,"Shilling, Bradley N.",Specialist,United States,U.S. Army National Guard,22,Iraq,Baghdad,Baghdad (southern part),hostile,hostile fire - ied attack,Michigan,Stanwood,9883640
2006-11-16,"Schiller, Rhett W.",Captain,United States,U.S. Army,26,Iraq,Diyala,Balad,hostile,hostile fire - small arms fire,Wisconsin,Waterford,5686986
2006-11-15,"Haynes, Schuyler B.",Sergeant 1st Class,United States,U.S. Army,40,Iraq,Diyala,Ba'qubah,hostile,hostile fire - ied attack,New York,New York,19378102
2006-11-15,"Mutz, Mitchel T.",Sergeant,United States,U.S. Army,23,Iraq,Diyala,Ba'qubah,hostile,hostile fire - ied attack,Texas,Falls City,25145561
2006-11-15,"Dennison, John R.",Captain,United States,U.S. Army,24,Iraq,Diyala,Balad,hostile,hostile fire - small arms fire,Maryland,Ijamsville,5773552
2006-11-14,"Rivera, Eric G. Palacios",Specialist,United States,U.S. Army,21,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,New Jersey,Atlantic City,8791894
2006-11-14,"Brown, Timothy W.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Haditha,hostile,hostile fire - ied attack,California,Sacramento,37253956
2006-11-14,"Gonzalez, Mario D.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Haditha,hostile,hostile fire,California,La Puente,37253956
2006-11-14,"Scholl, Michael D.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Haditha,hostile,hostile fire - ied attack,Nebraska,Lincoln,1826341
2006-11-14,"Felts Sr., Thomas H.",Colonel,United States,U.S. Army,45,Iraq,Baghdad,Baghdad (northwest part),hostile,hostile fire - ied attack,Virginia,Sandston,8001024
2006-11-14,"Garcia, Justin R.",Corporal,United States,U.S. Army,26,Iraq,Baghdad,Baghdad (northern part),hostile,hostile fire - ied attack,New York,Elmhurst,19378102
2006-11-14,"Nguyen, Tung M.",Sergeant 1st Class,United States,U.S. Army,38,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,California,Tracy,37253956
2006-11-13,"Allman II, Daniel J.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Georgia,Canon,9687653
2006-11-13,"Kim, Jang H.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,California,Placentia,37253956
2006-11-13,"Winston, Peter E.",Lieutenant Colonel,United States,U.S. Army Reserve,56,Iraq,NA,Kaiserslautern,non-hostile,suicide,Florida,Plant City,18801310
2006-11-12,"Cerrone, Michael A.",1st Lieutenant,United States,U.S. Army,24,Iraq,Salah ad Din,Samarra,hostile,hostile fire - ied attack,Tennessee,Clarksville,6346105
2006-11-12,"Winkler III, Harry A.",Private 1st Class,United States,U.S. Army,32,Iraq,Salah ad Din,Samarra,hostile,hostile fire - ied attack,Tennessee,Clarksville,6346105
2006-11-11,"Ramirez, Angel De Jesus Lucio",Sergeant,United States,U.S. Army,22,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,California,Pacoima,37253956
2006-11-11,"Jackson II, William Samuel",Staff Sergeant,United States,U.S. Army,29,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Michigan,Saginaw,9883640
2006-11-11,"Martinez, Misael",Staff Sergeant,United States,U.S. Army,24,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,North Carolina,Chapel Hill,9535483
2006-11-09,"McCoy, Gregory W. G.",Staff Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,Michigan,Webberville,9883640
2006-11-09,"Kennard, Courtland A.",Sergeant,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,Mississippi,Starkville,2967297
2006-11-09,"Burgess, Bryan",Sergeant,United States,U.S. Marine Reserve,35,Iraq,Anbar,Fallujah,hostile,hostile fire - small arms fire,Michigan,Garden City,9883640
2006-11-09,"Warren, Kristopher C.",Lance Corporal,United States,U.S. Marine Reserve,19,Iraq,Anbar,Trebil,non-hostile,NA,Georgia,Resaca,9687653
2006-11-09,"Salcido, Rudy A.",Sergeant 1st Class,United States,U.S. Army National Guard,31,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,California,Ontario,37253956
2006-11-07,"McCaughn, Ryan T.",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Ramadi,hostile,hostile fire,New Hampshire,Manchester,1316470
2006-11-07,"Doria, Richwell A.",Staff Sergeant,United States,U.S. Army,25,Iraq,Kirkuk,Kirkuk,hostile,hostile fire - small arms fire,California,San Diego,37253956
2006-11-06,"Henderson, Miles P.",Chief Warrant Officer,United States,U.S. Army,24,Iraq,Salah ad Din,Balad,non-hostile,helicopter crash,Texas,Amarillo,25145561
2006-11-06,"Priestner, John R.",Chief Warrant Officer,United States,U.S. Army,42,Iraq,Salah ad Din,Balad,non-hostile,helicopter crash,Pennsylvania,Not reported yet,12702379
2006-11-06,"White, Lucas T.",Sergeant,United States,U.S. Army,28,Iraq,Baghdad,Baghdad (northwest of),hostile,hostile fire - small arms fire,Washington,Moses Lake,6724540
2006-11-05,"Galvan, Jose A.",Corporal,United States,U.S. Marine,22,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Texas,San Antonio,25145561
2006-11-05,"Desjardins, Douglas C.",Specialist,United States,U.S. Army,24,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Arizona,Mesa,6392017
2006-11-04,"Bridges, James L.",Corporal,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - small arms fire,Idaho,Buhl,1567582
2006-11-04,"Gelina, Mark C.",2nd Lieutenant,United States,U.S. Marine,33,Iraq,Anbar,Rawah,non-hostile,NA,Missouri,Moberly,5988927
2006-11-04,"Powell, Kyle W.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Fallujah,hostile,hostile fire,Colorado,Colorado Springs,5029196
2006-11-02,"Bridges, Michael P.",Private,United States,U.S. Army,23,Iraq,Salah ad Din,Taji,non-hostile,NA,California,Placentia,37253956
2006-11-02,"Holler, Luke B.",Lance Corporal,United States,U.S. Marine Reserve,21,Iraq,Anbar,Hit,hostile,hostile fire - ied attack,Texas,Bulverde,25145561
2006-11-02,"Lasky, Michael H.",Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Hit,hostile,hostile fire - ied attack,Alaska,Sterling,710231
2006-11-02,"Whitehouse, Jason D.",Staff Sergeant,United States,U.S. Marine,27,Iraq,Anbar,Hit,hostile,hostile fire - ied attack,Arizona,Phoenix,6392017
2006-11-02,"Brown, James",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Habbaniyah,hostile,hostile fire - small arms fire,Indiana,Owensville,6483802
2006-11-02,"Gage, Joseph A.",Staff Sergeant,United States,U.S. Army,28,Iraq,Baghdad,Baghdad (eastern part),hostile,hostile fire - ied attack,California,Modesto,37253956
2006-11-02,"Kruger, Eric J.",Lieutenant Colonel,United States,U.S. Army,40,Iraq,Baghdad,Baghdad (eastern part),hostile,hostile fire - ied attack,Texas,Garland,25145561
2006-11-02,"Finken, Paul J.",Lieutenant Colonel,United States,U.S. Army,40,Iraq,Baghdad,Baghdad (eastern part),hostile,hostile fire - ied attack,Iowa,Earling,3046355
2006-11-01,"Ellenburg, Kevin J.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad (west of),hostile,hostile fire - ied attack,Florida,Middleburg,18801310
2006-11-01,"Koehler, Gary A.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Haditha,hostile,hostile fire,Michigan,Ypsilanti,9883640
2006-11-01,"Kim, Minhee",Lance Corporal,United States,U.S. Marine Reserve,20,Iraq,Anbar,Fallujah,hostile,hostile fire,Michigan,Ann Arbor,9883640
2006-10-31,"Weidemann, Michael R.",Sergeant,United States,U.S. Army,23,Iraq,Anbar,Hit,hostile,hostile fire - ied attack,Rhode Island,Newport,1052567
2006-10-31,"Franco, Jason",Private 1st Class,United States,U.S. Marine,18,Iraq,Anbar,Al Asad,non-hostile,gunshot wound,California,Corona,37253956
2006-10-30,"Bostic, Kenneth E.",Sergeant,United States,U.S. Army,21,Iraq,Baghdad,Baghdad (eastern part),hostile,hostile fire - sniper fire,Nevada,Hawthorne,2700551
2006-10-30,"Seeley, Michael T.",Sergeant,United States,U.S. Army,27,Iraq,Babil,Baghdad (south of),hostile,hostile fire - ied attack,Unknown,Fredericton,NA
2006-10-30,"Foyteck, Kraig D.",Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - small arms fire,Illinois,Skokie,12830632
2006-10-29,"Nealey, Troy D.",Lance Corporal,United States,U.S. Marine Reserve,24,Iraq,Anbar,Fallujah,hostile,hostile fire,Michigan,Eaton Rapids,9883640
2006-10-27,"Zimmerman, Luke J.",Sergeant,United States,U.S. Marine,24,Iraq,Anbar,Al Taqaddum,hostile,hostile fire,Wisconsin,Luxemburg,5686986
2006-10-26,"McGinnis, Ricky L.",1st Sergeant,United States,U.S. Army,42,Iraq,Diyala,Muqdadiyah (Died in Balad),hostile,hostile fire - ied attack,Ohio,Hamilton,11536504
2006-10-25,"Komppa, Charles V.",Petty Officer 2nd Class,United States,U.S. Navy,35,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Montana,Belgrade,989415
2006-10-25,"Thornsberry, Jonathan B.",Lance Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Fallujah,hostile,hostile fire,Kentucky,McDowell,4339367
2006-10-25,"Chaires, Daniel B.",Private 1st Class,United States,U.S. Marine,20,Iraq,Anbar,Al Asad,hostile,hostile fire,Florida,Tallahassee,18801310
2006-10-25,"Gilbert, Thomas M.",Sergeant,United States,U.S. Marine Reserve,24,Iraq,Anbar,Fallujah,hostile,hostile fire,Illinois,Downers Grove,12830632
2006-10-25,"Brown, Donald S.",Private 1st Class,United States,U.S. Marine,19,Iraq,Anbar,Haditha,hostile,hostile fire,New Jersey,Succasunna,8791894
2006-10-23,"Eason, Carl A.",Specialist,United States,U.S. Army,29,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,Texas,Lovelady,25145561
2006-10-23,"Overstreet, Tyler R.",Lance Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Tennessee,Gallatin,6346105
2006-10-23,"Buerstetta, Richard A.",Lance Corporal,United States,U.S. Marine Reserve,20,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Tennessee,Franklin,6346105
2006-10-23,"Sare, Charles O.",Hospital Corpsman,United States,U.S. Navy,23,Iraq,Anbar,Sadah,hostile,hostile fire,California,Hemet,37253956
2006-10-23,"Bock, Amos C. R",1st Lieutenant,United States,U.S. Army,24,Iraq,Baghdad,Baghdad (central part),hostile,hostile fire - ied attack,Missouri,New Madrid,5988927
2006-10-23,"al-Taie, Ahmed K.",Staff Sergeant,United States,U.S. Army,41,Iraq,Baghdad,Baghdad,hostile,hostile fire - mia - recovered,Michigan,Ann Arbor,9883640
2006-10-22,"Taylor, David G.",Major,United States,U.S. Army,37,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,North Carolina,Apex,9535483
2006-10-22,"Aguirre, Nathaniel A.",Specialist,United States,U.S. Army,21,Iraq,Baghdad,Baghdad (west of),hostile,hostile fire - small arms fire,Texas,Carrollton,25145561
2006-10-22,"Creed, Matthew W.",Specialist,United States,U.S. Army,23,Iraq,Baghdad,Baghdad (west of),hostile,hostile fire - sniper fire,California,Covina,37253956
2006-10-22,"Mock, Willsun M.",Sergeant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Kansas,Harper,2853118
2006-10-22,"Rogers, Nicholas K.",Specialist,United States,U.S. Army,27,Iraq,Baghdad,Baghdad (southwest),hostile,hostile fire - small arms fire,Florida,Deltona,18801310
2006-10-21,"Collinsworth, Clifford R.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Ramadi (near),hostile,hostile fire - ied attack,Michigan,Chelsea,9883640
2006-10-21,"Elrod, Nathan R.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Ramadi (near),hostile,hostile fire - ied attack,North Carolina,Salisbury,9535483
2006-10-21,"Manoukian, Nicholas J.",Lance Corporal,United States,U.S. Marine,22,Iraq,Anbar,Ramadi (near),hostile,hostile fire - ied attack,Michigan,Lathrup Village,9883640
2006-10-21,"Watkins, Joshua C.",Corporal,United States,U.S. Marine,25,Iraq,Anbar,Ramadi (near),hostile,hostile fire - ied attack,Florida,Jacksonville,18801310
2006-10-21,"Knier, Tony L.",Sergeant 1st Class,United States,U.S. Army,31,Iraq,Salah ad Din,Bayji,hostile,hostile fire - ied attack,Pennsylvania,Sabinsville,12702379
2006-10-21,"Herzberg, Eric W.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Habbaniyah,hostile,hostile fire,Maryland,Severna Park,5773552
2006-10-20,"Witte, Kevin M.",Staff Sergeant,United States,U.S. Army,27,Iraq,Baghdad,Baghdad (southwest of),hostile,hostile fire - ied attack,Minnesota,Beardsley,5303925
2006-10-19,"Lopez Jr., Edwardo",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Asad,hostile,hostile fire,Illinois,Aurora,12830632
2006-10-18,"Montalvo, Jesus M.",Staff Sergeant,United States,U.S. Army,46,Iraq,Baghdad,Baghdad (south of),hostile,hostile fire - small arms fire,Puerto Rico,Rio Piedras,NA
2006-10-18,"Perez, Jose R.",Corporal,United States,U.S. Army,21,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,California,Ontario,37253956
2006-10-18,"Brozovich, Daniel A.",Sergeant 1st Class,United States,U.S. Army National Guard,42,Iraq,Diyala,Ashraf,hostile,hostile fire - ied attack,Pennsylvania,Greenville,12702379
2006-10-18,"Barlow, Patrick O.",Staff Sergeant,United States,U.S. Army,42,Iraq,NA,"San Antonio, Texas",non-hostile,illness,North Carolina,Greensboro,9535483
2006-10-17,"Booth, Joshua L.",2nd Lieutenant,United States,U.S. Marine,23,Iraq,Anbar,Haditha,hostile,hostile fire - sniper fire,Massachusetts,Fiskdale,6547629
2006-10-17,"Sizemore, Garth D.",Staff Sergeant,United States,U.S. Army,31,Iraq,Baghdad,Baghdad (southern part),hostile,hostile fire - small arms fire,Kentucky,Mount Sterling,4339367
2006-10-17,"Frigo, Nathan J.",Petty Officer 1st Class,United States,U.S. Army,23,Iraq,Diyala,Ba'qubah,hostile,hostile fire,Indiana,Kokomo,6483802
2006-10-17,"Taylor III, Norman R.",Sergeant,United States,U.S. Army,21,Iraq,Diyala,Ba'qubah,hostile,hostile fire - ied attack,California,Blythe,37253956
2006-10-17,"Haupt, Ryan E.",Staff Sergeant,United States,U.S. Army,24,Iraq,Diyala,Ba'qubah,hostile,hostile fire - ied attack,Arizona,Phoenix,6392017
2006-10-17,"Loudon, Christopher E.",2nd Lieutenant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad (near Abu Ghraib prison),hostile,hostile fire - ied attack,Pennsylvania,Brockport,12702379
2006-10-17,"Culbertson III, Russell G.",Corporal,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (near Abu Ghraib prison),hostile,hostile fire - ied attack,Pennsylvania,Amity,12702379
2006-10-17,"Unger, David M.",Corporal,United States,U.S. Army,21,Iraq,Baghdad,Baghdad (near Abu Ghraib prison),hostile,hostile fire - ied attack,Kansas,Leavenworth,2853118
2006-10-17,"Dumas Jr., Joseph C.",Corporal,United States,U.S. Army,25,Iraq,Baghdad,Baghdad (near Abu Ghraib prison),hostile,hostile fire - ied attack,Louisiana,New Orleans,4533372
2006-10-17,"Paulsen, Ronald L.",Staff Sergeant,United States,U.S. Army Reserve,53,Iraq,Salah ad Din,Tarmiya,hostile,hostile fire - ied attack,Washington,Vancouver,6724540
2006-10-17,"Winegeart, Daniel W.",Sergeant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad,non-hostile,vehicle accident,Texas,Kountze,25145561
2006-10-15,"Hines, Joshua M.",Lance Corporal,United States,U.S. Marine Reserve,26,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Illinois,Olney,12830632
2006-10-15,"Babb, Brock A.",Sergeant,United States,U.S. Marine Reserve,40,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Indiana,Evansville,6483802
2006-10-15,"Paine, Mark C.",Captain,United States,U.S. Army,32,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,California,Rancho Cucamonga,37253956
2006-10-15,"Lootens, Jonathan E.",Sergeant,United States,U.S. Army,25,Iraq,Kirkuk,Kirkuk,hostile,hostile fire - ied attack,New York,Lyons,19378102
